Time (s),Position (m),Speed (m/s),Acceleration (m/s2)
0.000,0.000,,
0.050,0.000,0.004,
0.100,0.000,0.017,0.271
0.150,0.001,0.031,0.392
0.200,0.003,0.051,0.612
0.250,0.006,0.087,0.931
0.300,0.011,0.144,1.241
0.350,0.020,0.217,1.438
0.400,0.033,0.293,1.513
0.450,0.049,0.369,1.529
0.500,0.069,0.446,1.536
0.550,0.094,0.523,1.536
0.600,0.122,0.600,1.529
0.650,0.154,0.676,1.524
0.700,0.189,0.752,1.524
0.750,0.229,0.828,1.527
0.800,0.272,0.905,1.528
0.850,0.319,0.981,1.528
0.900,0.370,1.057,1.527
0.950,0.425,1.134,1.523
1.000,0.484,1.210,1.517
1.050,0.546,1.285,1.513
1.100,0.612,1.361,1.512
1.150,0.682,1.437,1.272
1.200,0.756,1.512,-0.554
1.250,0.833,1.516,-4.798
1.300,0.915,1.116,-9.582
1.350,0.978,0.394,-11.126
1.400,0.946,-0.241,-7.82
1.450,0.920,-0.466,-2.715
1.500,0.900,-0.371,0.668
1.550,0.884,-0.291,1.613
1.600,0.871,-0.215,1.548
1.650,0.862,-0.137,1.532
1.700,0.857,-0.059,1.471
1.750,0.857,0.013,1.339
1.800,0.859,0.076,1.191
1.850,0.864,0.129,0.978
1.900,0.872,0.181,0.531
1.950,0.882,0.200,-0.175
2.000,0.895,0.164,-0.826
2.050,0.901,0.095,-1.013
2.100,0.902,0.040,-0.755
2.150,0.904,0.021,-0.423
2.200,0.905,0.011,-0.302
2.250,0.905,-0.004,-0.352
2.300,0.905,-0.026,-0.366
2.350,0.903,-0.047,-0.237
