Tempo (s) Autom‡tica,Posi�‹o (m) SŽrie #1,Velocidade (m/s) SŽrie #1,Acelera�‹o (m/s_) SŽrie #1
0.000,0.000,,
0.050,0.000,0.004,
0.100,0.000,0.017,0.271
0.150,0.001,0.031,0.392
0.200,0.003,0.051,0.612
0.250,0.006,0.087,0.931
0.300,0.011,0.144,1.241
0.350,0.020,0.217,1.438
0.400,0.033,0.293,1.513
0.450,0.049,0.369,1.529
0.500,0.069,0.446,1.536
0.550,0.094,0.523,1.536
0.600,0.122,0.600,1.529
0.650,0.154,0.676,1.524
0.700,0.189,0.752,1.524
0.750,0.229,0.828,1.527
0.800,0.272,0.905,1.528
0.850,0.319,0.981,1.528
0.900,0.370,1.057,1.527
0.950,0.425,1.134,1.523
1.000,0.484,1.210,1.517
1.050,0.546,1.285,1.513
1.100,0.612,1.361,1.512
1.150,0.682,1.437,1.272
1.200,0.756,1.512,-0.554
1.250,0.833,1.516,-4.798
1.300,0.915,1.116,-9.582
1.350,0.978,0.394,-11.126
1.400,0.946,-0.241,-7.82
1.450,0.920,-0.466,-2.715
1.500,0.900,-0.371,0.668
1.550,0.884,-0.291,1.613
1.600,0.871,-0.215,1.548
1.650,0.862,-0.137,1.532
1.700,0.857,-0.059,1.471
1.750,0.857,0.013,1.339
1.800,0.859,0.076,1.191
1.850,0.864,0.129,0.978
1.900,0.872,0.181,0.531
1.950,0.882,0.200,-0.175
2.000,0.895,0.164,-0.826
2.050,0.901,0.095,-1.013
2.100,0.902,0.040,-0.755
2.150,0.904,0.021,-0.423
2.200,0.905,0.011,-0.302
2.250,0.905,-0.004,-0.352
2.300,0.905,-0.026,-0.366
2.350,0.903,-0.047,-0.237
2.400,0.899,-0.055,-0.007
2.450,0.896,-0.046,0.177
2.500,0.894,-0.030,0.205
2.550,0.894,-0.020,0.112
2.600,0.893,-0.020,0.007
2.650,0.892,-0.022,-0.053
2.700,0.890,-0.025,-0.125
2.750,0.889,-0.030,-0.303
2.800,0.887,-0.049,-0.629
2.850,0.886,-0.089,-1.05
2.900,0.880,-0.155,-1.415
2.950,0.870,-0.239,-1.566
3.000,0.856,-0.324,-1.386
3.050,0.837,-0.390,-0.901
3.100,0.816,-0.420,-0.274
3.150,0.794,-0.414,0.278
3.200,0.774,-0.383,0.573
3.250,0.755,-0.344,0.538
3.300,0.739,-0.317,0.216
3.350,0.725,-0.318,-0.268
3.400,0.709,-0.345,-0.752
3.450,0.690,-0.397,-1.077
3.500,0.670,-0.463,-1.086
3.550,0.644,-0.522,-0.668
3.600,0.616,-0.546,0.066
3.650,0.588,-0.515,0.8
3.700,0.563,-0.450,1.198
3.750,0.543,-0.378,1.152
3.800,0.526,-0.324,0.804
3.850,0.511,-0.296,0.317
3.900,0.497,-0.291,-0.26
3.950,0.483,-0.316,-0.939
4.000,0.467,-0.382,-1.607
4.050,0.446,-0.486,-1.997
4.100,0.419,-0.603,-1.862
4.150,0.385,-0.694,-1.179
4.200,0.347,-0.732,-0.186
4.250,0.310,-0.710,0.733
4.300,0.275,-0.643,1.25
4.350,0.245,-0.564,1.25
4.400,0.220,-0.503,0.869
4.450,0.196,-0.475,0.408
4.500,0.173,-0.472,0.135
4.550,0.149,-0.473,0.166
4.600,0.125,-0.464,0.449
4.650,0.102,-0.433,0.823
4.700,0.081,-0.378,1.087
4.750,0.063,-0.312,1.087
4.800,0.050,-0.258,0.857
4.850,0.039,-0.226,0.598
4.900,0.028,-0.207,0.49
4.950,0.018,-0.184,0.562
5.000,0.009,-0.153,0.706
5.050,0.002,-0.112,0.815
